"SKU","STORE","COST","RETAIL"
1247822,202,13.00,14.00
6237606,107,24.40,17.50
6139949,704,12.80,38.00
6908521,402,40.28,22.50
4899528,1502,26.00,59.00
6548950,7902,41.85,54.50
9436244,6104,5.00,3.75
456309,202,18.75,16.80
7433287,107,16.75,35.00
8847692,302,11.00,7.25
3559574,507,3.50,9.99
6697648,507,9.50,5.50
7037500,6402,37.00,85.00
3456085,7204,22.75,12.50
8548216,504,35.24,58.96
8130100,304,16.50,35.00
7188013,1509,23.00,13.00
1166601,504,36.22,39.37
3657904,103,10.34,11.23
781744,2909,7.49,8.14
2177837,209,32.00,39.50
6770223,1602,36.00,19.75
6246864,2504,11.60,26.10
9466832,709,34.80,29.50
99022,7107,50.00,105.00
7328860,103,26.40,22.00
9899243,6402,13.00,8.50
352351,409,9.07,6.25
1663532,504,21.33,23.19
8708456,302,9.00,10.00
9366830,304,48.33,32.00
7999510,7202,25.25,59.00
1116029,202,31.73,17.04
2978404,3304,18.50,15.60
2506086,304,8.19,9.00
3737453,204,26.00,29.99
4776667,204,13.50,8.89
6456942,107,3.44,2.03
7774159,407,20.48,11.25
4147535,203,8.80,11.00
1899365,407,57.60,64.00
1134280,704,40.60,29.50
6700544,4109,26.22,28.50
1599420,3403,13.72,42.00
389852,302,38.98,42.37
4008829,102,20.96,22.78
1377413,107,14.50,15.00
3246293,103,48.75,24.37
1918411,5503,15.50,24.50
2160606,7502,54.50,99.99
53018,103,9.50,28.00
9530088,202,16.92,39.00
2838699,1807,31.98,39.00
3097126,9609,54.74,59.50
5616733,709,27.14,29.50
2551968,403,5.36,5.82
8328636,103,10.40,13.00
9830502,1709,11.40,28.50
490996,404,28.77,21.57
5739676,3804,17.18,18.68
8800485,1002,15.00,10.51
5769122,102,18.00,22.00
5797426,107,32.50,32.50
6652990,7102,22.76,12.50
6569016,3502,29.79,32.38
2214869,709,18.60,11.34
7600644,1509,10.60,26.50
8430922,3504,3.36,2.00
7068904,709,23.05,49.00
3177348,103,10.46,15.00
4449560,3304,54.66,59.42
8653602,304,39.75,19.87
9549073,509,20.80,29.00
329961,507,11.00,24.00
7801994,209,17.10,9.75
1700768,709,21.48,23.35
7677644,504,22.99,24.99
4220579,304,167.64,182.22
7133159,307,20.00,30.00
8629927,1103,18.00,9.75
4951793,409,10.29,6.13
1479047,407,10.50,12.50
8280634,402,11.00,29.00
2427639,2009,26.98,64.00
8567834,802,39.89,43.36
7439691,209,14.20,29.00
1460266,504,15.00,27.00
514692,3102,10.80,6.25
3548135,709,30.23,19.75
686596,1003,78.40,50.00
6618467,3807,40.74,44.29
78794,209,49.75,27.50
3633047,303,17.25,22.19
9863252,303,9.26,10.07
6469769,1207,16.90,9.75
3318012,2004,19.68,17.00
4528049,107,42.07,50.00
214278,209,15.00,16.71
3312914,2007,11.50,14.00
4151308,1502,76.00,180.00
2538775,304,8.18,14.99
9998736,502,12.25,35.00
9407635,202,29.72,32.30
4660515,303,8.50,24.00
5552499,409,2.45,1.44
6239177,2203,17.85,11.00
3436326,407,10.00,8.50
4426905,409,3.50,2.50
1422235,9806,124.00,240.00
6376741,307,6.75,6.96
4590224,307,11.75,36.00
242582,1104,16.50,22.05
2930606,103,7.50,16.05
2271294,203,14.54,15.81
8949000,707,8.00,12.00
5059524,107,18.07,19.64
7226269,302,21.00,12.00
4778360,707,17.25,27.00
5836212,709,50.44,54.83
47941,2209,45.00,90.00
627439,2009,26.92,29.26
5906503,1607,15.50,9.50
7578662,203,29.50,34.50
5929240,1607,78.20,85.00
4828932,107,9.50,12.00
9606905,209,59.00,35.50
3786374,809,24.99,16.75
482901,307,34.00,18.00
2007973,1709,25.56,27.78
8727666,302,23.40,20.00
5578927,107,21.05,49.50
148147,709,15.54,28.50
9647954,404,16.00,19.50
8347907,203,21.35,37.00
8677094,2203,11.07,4.99
1551418,409,5.36,5.83
8746916,303,10.00,7.25
8454149,107,16.76,18.22
1568588,407,45.47,49.43
3679194,3002,23.80,11.99
7891352,203,7.74,5.00
1979139,709,64.20,69.79
1976651,1607,47.50,48.75
1256041,504,6.00,4.75
229042,2402,11.20,14.00
6290361,709,8.00,17.99
7531251,409,18.00,18.80
8004038,1003,7.88,4.75
9357675,9204,7.50,12.00
5288648,802,17.93,27.50
1596831,209,68.06,42.00
6777300,309,9.30,10.11
944024,1709,17.79,19.34
271498,1304,17.48,19.00
859581,6902,40.00,89.00
3997186,203,11.79,19.00
9087645,4703,16.34,17.76
499541,5302,18.40,22.00
7070067,1104,17.50,39.00
6324232,107,15.25,10.48
